off_id,count2,tstick1,sstick1,tstick2,sstick2,tripfreq,avedur,centdist,subcendist,eat,recrea,cult,finan,dailyser,transport,work,reside,poi_entro,metrosta4,busstop4,busroute,roadden3,junden3,oldage,highage,midage,adult,youth,juveni,female,houseprice,pop,popden
139,40,0.225843178,0.094275604,0.603853225,4943.682722,8,0.455768096,24.45886745,14.8339674,6,9,1,0,7,2,4,0,2.316926,0,4,7,8.33488,32,0.0101377,0.101026997,0.263365,0.460777014,0.139039993,0.0277924,0.350706011,31383,2519,10076
141,16,0.14400911,0.067105463,0.37728143,3521.922318,10.375,0.299535045,24.16194684,14.16533744,4,13,0,0,13,1,23,2,2.052831,0,6,8,16.0152,148,0.0136973,0.100295,0.263810009,0.458074987,0.131470993,0.0278308,0.359732002,30560,3010,12040
142,36,0.177777459,0.095763291,0.477676128,5032.131366,7.722222222,0.337436585,24.02772178,13.84600603,0,2,0,0,3,5,5,1,2.126614,0,2,9,12.6345,100,0.019344101,0.091675699,0.27512899,0.463250011,0.120495997,0.025741899,0.396961004,30442,2983,11930
144,80,0.154669389,0.108485113,0.420763099,5711.326765,9.4375,0.383833816,23.7885454,13.24092441,1,1,1,0,2,1,9,0,1.626689,0,2,11,9.33536,40,0.0262655,0.082866497,0.274904013,0.46735999,0.114303999,0.025172399,0.417358994,31782,3428,13711
255,58,0.144613837,0.122093495,0.389860092,6429.698879,9.517241379,0.319944323,23.01153969,11.9984129,0,0,1,0,1,6,4,0,1.625815,0,6,25,4.1248,44,0.0286316,0.097041197,0.218042001,0.446218997,0.171903998,0.0301922,0.341320008,35103,3842,15370
256,187,0.146772091,0.176020346,0.396828288,9260.869547,8.86631016,0.349411631,22.93605673,11.74806411,1,1,1,0,4,3,4,0,2.324863,0,3,60,14.8129,44,0.0294686,0.098407999,0.231300995,0.438645989,0.167702004,0.035236601,0.37412101,36202,4786,19145
339,18,0.184301969,0.056861741,0.485545758,2987.505289,11.05555556,0.345547505,27.20863967,16.49565346,0,0,0,0,0,0,4,0,0,0,1,6,5.5354,32,0.0138788,0.107605003,0.270673007,0.390331,0.176504001,0.051331099,0.403252989,32865,2233,8933
364,142,0.176152392,0.200822354,0.47346496,10586.95615,9.014084507,0.293435501,22.4411129,11.31333501,0,0,0,0,0,0,0,3,0,0,3,60,18.5884,172,0.0303894,0.104763001,0.246822998,0.431881994,0.160741001,0.033786099,0.399208993,36492,5358,21431
436,48,0.112294917,0.169345996,0.305087765,8854.737892,8.104166667,0.554133194,30.35624801,17.19976801,0,0,0,0,0,0,0,0,0,0,4,16,7.59116,32,0.0177649,0.109889001,0.249036998,0.434524,0.158961996,0.031441301,0.408886999,30062,2276,9104
445,16,0.18449587,0.105646708,0.511775007,5541.052776,10.625,0.217167898,27.40050081,16.08252744,0,0,0,0,0,0,0,0,0,0,2,4,12.063,52,0.0115436,0.085840598,0.189182997,0.357149988,0.257551998,0.067813598,0.458106011,32491,4019,16078
