feature,value
per_hh_no_centralheat,0.002106621492417442
per_NS_SeC_L13_routine,0.001810432517152243
per_ukborn,0.0013555881060873653
per_hh_no_car,0.0010468251059701367
per_age_85_89,0.001042080223323944
per_hh_owned,8.949844361117413e-4
per_age_80_84,7.92651820608733e-4
per_hh_notdeprived,6.668373444369246e-4
per_age_50_54,5.682877202501334e-4
per_age_15_19,5.435043396631334e-4
per_age_0_4,5.15388783893429e-4
per_NS_SeC_L12_semi_routine,4.930297842684132e-4
per_age_45_49,4.7587813866323703e-4
per_NS_SeC_L15_ft_students,4.755448524273795e-4
per_NS_SeC_L1011_lower_supervisory_technical,4.5968784254564606e-4
total_residents,4.2229110521391976e-4
per_NS_SeC_L89_small_employers_own_account,3.341214363836235e-4
per_NS_SeC_L123_higher_managerial_administrative_professional,3.328255547914452e-4
per_age_25_29,3.061733063907617e-4
per_age_65_69,3.0588692347283824e-4
per_NS_SeC_L456_lower_managerial_administrative_professional,2.934310088902665e-4
per_no_qualifications,2.8547835043505926e-4
per_NS_SeC_L7_intermediate,2.839651988066323e-4
per_age_5_9,2.7292151156370695e-4
per_non_white,2.711658082488528e-4
per_age_20_24,2.701917418498971e-4
total_hh,2.667510215296835e-4
per_NS_SeC_L141142_never_worked_unemployed,2.498673910101257e-4
per_bad_health,2.4569797100944154e-4
per_age_40_44,2.2882682954503047e-4
per_female,2.2724198916919736e-4
per_level4,2.2070167802055502e-4
per_age_60_64,2.1659749310308488e-4
per_age_35_39,1.5102278716986052e-4
per_age_70_74,1.3028175349599696e-4
per_severe_disability,1.2795068748969779e-4
per_age_55_59,1.2524989499917158e-4
per_age_10_14,1.2339947919842842e-4
per_age_75_79,1.2036616163347259e-4
per_age_30_34,8.085728181490734e-5
