feature,value
per_hh_no_centralheat,0.004152750936753674
per_NS_SeC_L13_routine,0.0033340847331009486
per_hh_owned,0.002752526910816966
per_hh_no_car,0.002247575736186756
per_age_85_89,0.0018990002163939024
per_ukborn,0.0016119117301940998
per_hh_notdeprived,0.0011176898885570674
per_age_50_54,0.001051566871432458
per_NS_SeC_L12_semi_routine,9.287595644647062e-4
per_age_15_19,9.235534264134674e-4
per_age_45_49,9.053717908162817e-4
per_no_qualifications,9.024071913517333e-4
per_NS_SeC_L1011_lower_supervisory_technical,8.441256196265107e-4
per_age_65_69,8.438486602324098e-4
per_age_5_9,8.35558322715694e-4
total_residents,7.900356769315339e-4
per_level4,7.530054983172152e-4
per_NS_SeC_L7_intermediate,7.217643502356198e-4
per_age_60_64,6.552799642384534e-4
per_age_0_4,6.534289300242559e-4
