feature,value
pop_density,0.004074421321309883
per_NS_SeC_L13_routine_lagq,0.003994655664719396
per_hh_no_centralheat,0.003239922719734849
rural_pct,0.00318801161993838
pop_density_lagq,0.002562766579831627
per_hh_no_car,0.0021703776971286155
per_NS_SeC_L13_routine,0.001380526553156912
per_female,0.0010795825314758173
per_age_30_39,0.001007498375302268
per_age_0_9,8.262807567404303e-4
per_large_households,7.94817475494584e-4
per_NS_SeC_L141142_never_worked_unemployed_lagq,7.786380961587304e-4
per_recent_migrant,7.685839267585372e-4
per_female_lagq,7.275650858601416e-4
per_hh_no_car_lagq,7.096935293614772e-4
per_large_households_lagq,6.87817667507717e-4
per_hh_no_centralheat_lagq,6.750193067539337e-4
per_NS_SeC_L89_small_employers_own_account_lagq,6.414396713445247e-4
per_NS_SeC_L123_higher_managerial_administrative_professional,5.465086128348883e-4
per_hh_notdeprived,4.890740327637736e-4
per_hh_owned,4.83991071186268e-4
per_nonukborn,4.835624861745018e-4
per_age_50_59,4.2669765442459917e-4
per_age_20_29,4.0727720659758707e-4
per_age_50_59_lagq,3.9068075151249445e-4
per_NS_SeC_L12_semi_routine_lagq,3.6482508747163247e-4
per_NS_SeC_L15_ft_students_lagq,3.2626998171950985e-4
per_age_10_19,3.131824399558143e-4
per_level4,2.7713734860249697e-4
per_age_20_29_lagq,2.685782101170267e-4
per_age_0_9_lagq,2.533052167311375e-4
per_age_70plus_lagq,2.4076230579270916e-4
per_NS_SeC_L456_lower_managerial_administrative_professional_lagq,2.1951142385863537e-4
per_level4_lagq,2.148415157021232e-4
per_home_work,2.1305130207415775e-4
per_NS_SeC_L15_ft_students,2.045528815126799e-4
per_no_qualifications_lagq,1.9993550005969693e-4
per_NS_SeC_L89_small_employers_own_account,1.9756257515397572e-4
per_age_40_49_lagq,1.967401449704241e-4
rural_pct_lagq,1.8300222080670265e-4
