feature,value
pop_density,0.005966287607657181
rural_pct,0.004704879283377286
per_hh_no_centralheat,0.0025990929251118503
per_NS_SeC_L13_routine,0.0020944795901895034
per_age_30_39,0.0019132337931235756
per_nonukborn,0.0016736037872653628
per_NS_SeC_L141142_never_worked_unemployed,0.0015950083395822664
per_recent_migrant,0.0012555160719427705
per_hh_no_car,0.001097827027314207
per_large_households,0.0010514456541229988
per_hh_owned,0.001037102005313247
per_NS_SeC_L12_semi_routine,0.001006195596944144
per_NS_SeC_L89_small_employers_own_account,9.195113027386727e-4
per_female,9.171433284671206e-4
per_age_50_59,9.087130336279174e-4
per_age_0_9,7.901124661037767e-4
per_age_10_19,7.402778423086814e-4
per_age_20_29,6.577275292293711e-4
per_level4,6.230395574751202e-4
per_NS_SeC_L123_higher_managerial_administrative_professional,5.629864046535428e-4
per_age_70plus,5.627161629056589e-4
per_hh_notdeprived,5.599629180818562e-4
per_NS_SeC_L1011_lower_supervisory_technical,5.537234885602747e-4
per_no_qualifications,5.011644556316379e-4
per_NS_SeC_L15_ft_students,4.2634467441811044e-4
per_NS_SeC_L456_lower_managerial_administrative_professional,3.7109299195926067e-4
per_age_40_49,3.19563687098041e-4
per_age_60_69,3.137976061384713e-4
per_home_work,2.76023441728143e-4
per_NS_SeC_L7_intermediate,2.5314897148125256e-4
