feature,value
per_age_0_9,6.479864143329906e-4
per_age_40_49,4.805784021631222e-4
per_hh_no_centralheat,3.862969049474817e-4
per_NS_SeC_L7_intermediate,3.187363460628231e-4
per_hh_owned,2.596408061160191e-4
per_hh_notdeprived,2.580528539979379e-4
per_age_70plus,2.2632424202818197e-4
per_level4,2.0241458760486265e-4
per_NS_SeC_L89_small_employers_own_account,1.686409862238427e-4
rural_pct,1.6400508351525236e-4
pop_density,1.619516440383229e-4
per_NS_SeC_L456_lower_managerial_administrative_professional,1.590761020920719e-4
per_nonukborn,1.5808586196009965e-4
per_home_work,1.467802947886274e-4
per_female,1.3906580258084102e-4
per_age_20_29,1.1890350649606041e-4
per_NS_SeC_L1011_lower_supervisory_technical,1.0349550223261097e-4
per_age_60_69,9.142175858318241e-5
per_large_households,8.519519863815124e-5
per_hh_no_car,8.317152801971657e-5
per_NS_SeC_L141142_never_worked_unemployed,7.825514127916628e-5
per_age_50_59,5.4345327035579514e-5
per_NS_SeC_L13_routine,5.173779966505456e-5
per_recent_migrant,2.410398102449218e-5
per_NS_SeC_L123_higher_managerial_administrative_professional,2.2129091931591657e-5
per_NS_SeC_L12_semi_routine,1.3461509709514124e-5
per_NS_SeC_L15_ft_students,1.0713530663810106e-5
per_age_10_19,0
per_age_30_39,0
per_no_qualifications,0
