feature,value
per_NS_SeC_L7_intermediate,5.197890071609767e-4
per_level4,5.162618331840082e-4
per_NS_SeC_L89_small_employers_own_account,2.762406995446197e-4
per_bad_health,2.729697920491257e-4
per_NS_SeC_L141142_never_worked_unemployed,2.4717008293671165e-4
per_age_65_69,2.1430613522572056e-4
per_severe_disability,1.9453719218668616e-4
per_NS_SeC_L1011_lower_supervisory_technical,1.9130997507248285e-4
per_NS_SeC_L15_ft_students,1.8845994763269826e-4
per_age_45_49,1.645191624286336e-4
per_hh_no_centralheat,1.407518624488774e-4
per_age_60_64,1.3770966874589253e-4
total_residents,1.370492406611396e-4
total_hh,1.2656775510470048e-4
per_age_40_44,1.0842539743318955e-4
per_age_25_29,9.542979106807653e-5
per_NS_SeC_L13_routine,9.522564825087085e-5
per_non_white,7.811319517597461e-5
per_age_80_84,6.099865149893194e-5
per_hh_no_car,5.558126237642249e-5
