feature,value
per_NS_SeC_L7_intermediate,5.197890071609767e-4
per_level4,5.162618331840082e-4
per_NS_SeC_L89_small_employers_own_account,2.762406995446197e-4
per_bad_health,2.729697920491257e-4
per_NS_SeC_L141142_never_worked_unemployed,2.4717008293671165e-4
per_age_65_69,2.1430613522572056e-4
per_severe_disability,1.9453719218668616e-4
per_NS_SeC_L1011_lower_supervisory_technical,1.9130997507248285e-4
per_NS_SeC_L15_ft_students,1.8845994763269826e-4
per_age_45_49,1.645191624286336e-4
per_hh_no_centralheat,1.407518624488774e-4
per_age_60_64,1.3770966874589253e-4
total_residents,1.370492406611396e-4
total_hh,1.2656775510470048e-4
per_age_40_44,1.0842539743318955e-4
per_age_25_29,9.542979106807653e-5
per_NS_SeC_L13_routine,9.522564825087085e-5
per_non_white,7.811319517597461e-5
per_age_80_84,6.099865149893194e-5
per_hh_no_car,5.558126237642249e-5
per_female,5.491809259774429e-5
per_age_70_74,5.2226555638720314e-5
per_age_50_54,4.7182082455216886e-5
per_NS_SeC_L123_higher_managerial_administrative_professional,3.604737970216542e-5
per_age_5_9,3.452448206878863e-5
per_no_qualifications,3.21921332118717e-5
per_hh_notdeprived,3.17162329017434e-5
per_age_10_14,2.6502354999246607e-5
per_age_55_59,2.642313667453273e-5
per_age_15_19,2.547232699673842e-5
per_age_85_89,2.450835946075678e-5
per_hh_owned,2.4307688411955373e-5
per_NS_SeC_L456_lower_managerial_administrative_professional,2.122958274678921e-5
per_NS_SeC_L12_semi_routine,1.9781862418962944e-5
per_age_35_39,1.7922004601786426e-5
per_age_0_4,1.7571019690740878e-5
per_age_75_79,1.5640334913990505e-5
per_age_30_34,6.8741152123054525e-6
per_age_20_24,6.347161723445944e-6
per_ukborn,5.8966251753558715e-6
