feature,value
per_hh_no_car,4.15583257988965e-4
per_NS_SeC_L7_intermediate,4.080726751727165e-4
per_hh_no_centralheat,3.719965492993014e-4
per_age_40_49_lagq,3.499922032966325e-4
per_level4,3.391511698971547e-4
per_NS_SeC_L13_routine_lagq,2.0583578349263714e-4
per_NS_SeC_L15_ft_students,2.0114705314440567e-4
per_NS_SeC_L89_small_employers_own_account,1.985418702012857e-4
per_NS_SeC_L141142_never_worked_unemployed,1.7730504402285556e-4
per_age_0_9,1.5366479395024422e-4
per_large_households,1.4914694663846966e-4
per_NS_SeC_L7_intermediate_lagq,1.3214587423292148e-4
per_hh_owned,1.023208992585248e-4
per_age_20_29,9.137774379085007e-5
per_age_50_59_lagq,8.356726963383815e-5
per_level4_lagq,7.508348263878069e-5
per_age_40_49,7.338000524163462e-5
per_NS_SeC_L1011_lower_supervisory_technical,7.23731314398233e-5
per_NS_SeC_L1011_lower_supervisory_technical_lagq,6.768329193017388e-5
per_hh_notdeprived,6.692317303028516e-5
per_NS_SeC_L15_ft_students_lagq,6.411576354884788e-5
per_age_0_9_lagq,6.266627367680419e-5
pop_density,5.821794825268958e-5
per_no_qualifications_lagq,5.8150730672895985e-5
per_age_10_19,5.600154508599033e-5
rural_pct,5.27459202959627e-5
per_female,5.198095310581865e-5
pop_density_lagq,4.855581953733458e-5
per_hh_no_centralheat_lagq,4.484892833261771e-5
per_recent_migrant_lagq,4.227273315518137e-5
per_home_work,4.15245828677704e-5
per_NS_SeC_L141142_never_worked_unemployed_lagq,4.09188988838469e-5
per_large_households_lagq,3.708041629502448e-5
per_hh_owned_lagq,3.666244385991525e-5
per_hh_no_car_lagq,3.6646730851224484e-5
per_age_50_59,3.572347711319145e-5
per_recent_migrant,3.52539782322236e-5
per_age_60_69,3.2839268834567416e-5
per_no_qualifications,3.1804404533293733e-5
rural_pct_lagq,3.160161820571012e-5
