Covariate,N,Pearson r,Spearman rho,Distance Correlation,Linear AIC,Linear BIC,GAM AIC,GAM BIC
Pop density,330,0.47***,0.50***,0.56,1486.04,1497.44,1439.6,1461.64
Rural (%),330,-0.37***,-0.51***,0.45,1518.62,1530.01,1442.1,1464.75
rural_pop,330,-0.33***,-0.53***,0.48,1529.6,1541,1464.45,1487.16
No central heating (%),330,0.35***,0.52***,0.48,1525.27,1536.66,1474.3,1496.12
70-74 (%),330,-0.34***,-0.34***,0.39,1527.59,1538.98,1488.13,1510.02
50-54 (%),330,-0.46***,-0.47***,0.46,1488.51,1499.9,1488.51,1499.93
65-69 (%),330,-0.34***,-0.34***,0.39,1526.25,1537.65,1491.64,1513.47
Owned (%),330,-0.44***,-0.40***,0.44,1496.72,1508.12,1492.51,1512.3
Age 50-59 (%),330,-0.45***,-0.45***,0.45,1492.61,1504.01,1492.61,1504.02
Age 60-69 (%),330,-0.36***,-0.35***,0.40,1522.04,1533.44,1493.26,1514.85
Non-UK (%),330,0.41***,0.43***,0.43,1507.82,1519.22,1494.41,1514.79
UK (%),330,-0.41***,-0.43***,0.43,1507.82,1519.22,1494.41,1514.79
60-64 (%),330,-0.37***,-0.37***,0.41,1518.22,1529.61,1495.3,1516.76
Recent migrant (%),330,0.39***,0.44***,0.42,1512.45,1523.85,1495.47,1516.44
75-79 (%),330,-0.33***,-0.32***,0.37,1529.41,1540.81,1496.04,1517.38
55-59 (%),330,-0.42***,-0.40***,0.43,1505.13,1516.53,1496.61,1518.37
Age 70+ (%),330,-0.30***,-0.29***,0.35,1536.95,1548.35,1498.07,1519.9
X,330,0.27***,0.29***,0.33,1542.71,1554.1,1505.23,1527.59
No car (%),330,0.40***,0.40***,0.40,1511.2,1522.6,1505.67,1523.67
80-84 (%),330,-0.29***,-0.27***,0.34,1539.83,1551.23,1505.78,1526.86
Age 20-29 (%),330,0.35***,0.27***,0.39,1523.73,1535.13,1511.6,1534.13
Large households (%),330,0.34***,0.42***,0.38,1528.51,1539.91,1511.83,1533.27
Non white (%),330,0.38***,0.39***,0.40,1515.2,1526.6,1513.18,1530.48
25-29 (%),330,0.30***,0.23***,0.35,1535.81,1547.21,1515.78,1538.41
35-39 (%),330,0.32***,0.28***,0.34,1531.85,1543.24,1515.99,1537.74
Age 30-39 (%),330,0.33***,0.26***,0.34,1530.09,1541.49,1517.05,1539.04
30-34 (%),330,0.32***,0.24***,0.33,1532.37,1543.76,1517.48,1539.9
Students (%),330,0.36***,0.37***,0.39,1522,1533.4,1521.8,1538.33
85-89 (%),330,-0.16***,-0.14**,0.24,1559.59,1570.99,1527.09,1548.3
40-44 (%),330,0.29***,0.26***,0.31,1538.33,1549.73,1527.87,1549.43
20-24 (%),330,0.34***,0.28***,0.36,1528.11,1539.51,1528.11,1539.51
Lower supervisory (%),330,-0.33***,-0.36***,0.34,1530.51,1541.91,1530.77,1543.24
Intermediate (%),330,-0.22***,-0.18***,0.26,1551.81,1563.21,1533.31,1555.6
45-49 (%),330,-0.06,-0.11**,0.21,1566.47,1577.87,1533.85,1555.71
15-19 (%),330,0.24***,0.27***,0.30,1548.05,1559.45,1536,1558.48
Age 10-19 (%),330,0.21***,0.24***,0.27,1552.59,1563.99,1538.4,1560.62
Age 40-49 (%),330,0.17***,0.13**,0.22,1558.09,1569.48,1547.12,1567.32
Routine (%),330,-0.23***,-0.26***,0.25,1549.28,1560.68,1549.28,1560.68
Level 4 qual. (%),330,0.23***,0.21***,0.24,1549.66,1561.05,1549.46,1566.68
0-4 (%),330,0.17***,0.15**,0.20,1557.97,1569.36,1549.47,1570.14
Age 0-9 (%),330,0.14**,0.12**,0.18,1561.37,1572.77,1552.21,1573.02
Semiroutine (%),330,-0.10*,-0.10*,0.16,1564.33,1575.73,1553.17,1572.81
10-14 (%),330,0.07,0.03,0.17,1566.42,1577.81,1553.98,1574.13
5-9 (%),330,0.10*,0.08,0.16,1564.7,1576.1,1554.78,1575
Female (%),330,0.15**,0.16***,0.20,1560.31,1571.71,1556.12,1577.27
Small employers (%),330,-0.01,-0.02,0.13,1567.81,1579.21,1557.11,1579.23
Home work (%),330,0.18***,0.16***,0.18,1557.06,1568.46,1557.43,1572.74
Not deprived (%),330,-0.15**,-0.16***,0.19,1560.57,1571.97,1558.15,1577.98
Unemployed (%),330,0.15***,0.15**,0.18,1559.85,1571.25,1559.85,1571.26
Severe disability (%),330,-0.13**,-0.14**,0.15,1562.12,1573.51,1561.15,1578.74
Higher managerial (%),330,0.07,0.04,0.13,1566.21,1577.6,1562.03,1582.97
Residents,330,0.12**,0.13**,0.17,1562.69,1574.08,1562.98,1575.7
No qualifications (%),330,-0.11*,-0.10*,0.12,1564.15,1575.55,1564.15,1575.55
Households,330,0.10*,0.11*,0.16,1564.49,1575.89,1564.68,1576.87
Bad health (%),330,-0.09*,-0.09*,0.11,1564.91,1576.31,1564.91,1576.31
Lower managerial (%),330,-0.09,-0.08,0.12,1565.27,1576.67,1565.36,1577.08
