Covariate,N,Pearson r,Spearman rho,Distance Correlation,Linear AIC,Linear BIC,GAM AIC,GAM BIC
Age 20-29 (%),330,-0.58***,-0.35***,0.54,-971.58,-960.18,-993.74,-971.35
20-24 (%),330,-0.55***,-0.33***,0.51,-955.53,-944.13,-963.95,-942.23
25-29 (%),330,-0.50***,-0.32***,0.47,-932.15,-920.75,-945.07,-923.17
Students (%),330,-0.51***,-0.38***,0.48,-936.57,-925.18,-936.57,-925.17
No car (%),330,-0.51***,-0.45***,0.49,-935.28,-923.88,-935.05,-920.22
50-54 (%),330,0.42***,0.28***,0.39,-902.21,-890.82,-918.16,-896.43
Owned (%),330,0.46***,0.34***,0.44,-918.04,-906.64,-917.55,-902.91
Age 50-59 (%),330,0.40***,0.29***,0.39,-896.9,-885.5,-907.56,-886.7
Pop density,330,-0.41***,-0.36***,0.43,-900.05,-888.66,-901.94,-883.79
30-34 (%),330,-0.41***,-0.28***,0.37,-899.3,-887.91,-899.4,-883.31
60-64 (%),330,0.36***,0.28***,0.36,-884.27,-872.87,-897.16,-877.52
Small employers (%),330,0.32***,0.34***,0.35,-873.51,-862.12,-896.96,-875.47
55-59 (%),330,0.37***,0.27***,0.37,-886.02,-874.63,-895.96,-875.11
Age 60-69 (%),330,0.36***,0.27***,0.35,-882.75,-871.35,-894.19,-874.57
65-69 (%),330,0.35***,0.26***,0.34,-880.42,-869.02,-890.59,-870.73
Recent migrant (%),330,-0.38***,-0.25***,0.38,-889.61,-878.21,-889.61,-878.19
Intermediate (%),330,0.34***,0.21***,0.32,-877.94,-866.54,-887.27,-866.59
75-79 (%),330,0.36***,0.29***,0.34,-882.68,-871.28,-886.65,-868.26
Age 70+ (%),330,0.35***,0.27***,0.33,-879.89,-868.49,-885.57,-866.98
70-74 (%),330,0.35***,0.27***,0.33,-880.72,-869.32,-885.16,-866.41
Age 30-39 (%),330,-0.36***,-0.27***,0.33,-884.84,-873.44,-884.71,-869.22
80-84 (%),330,0.33***,0.26***,0.32,-876.28,-864.89,-884.38,-865.3
Rural (%),330,0.31***,0.37***,0.36,-872.04,-860.64,-882.56,-863.74
85-89 (%),330,0.30***,0.24***,0.29,-869.89,-858.5,-877.39,-858.1
rural_pop,330,0.27***,0.37***,0.36,-862.07,-850.67,-877.15,-855.85
Lower supervisory (%),330,0.28***,0.21***,0.32,-865.39,-853.99,-876.05,-854.54
Level 4 qual. (%),330,-0.33***,-0.25***,0.33,-875.47,-864.07,-875.47,-864.06
15-19 (%),330,-0.27***,-0.15**,0.27,-862.39,-850.99,-867.98,-847.06
35-39 (%),330,-0.28***,-0.23***,0.28,-864.55,-853.15,-864.54,-853.14
Households,330,-0.27***,-0.19***,0.27,-863.55,-852.15,-863.54,-847.12
Residents,330,-0.26***,-0.18***,0.25,-860.82,-849.42,-860.77,-844.75
Non white (%),330,-0.19***,-0.19***,0.24,-850.46,-839.06,-859.32,-839.26
No central heating (%),330,-0.19***,-0.19***,0.26,-850.48,-839.08,-859.23,-842.65
Non-UK (%),330,-0.24***,-0.16***,0.26,-857.16,-845.76,-858.81,-838.87
UK (%),330,0.24***,0.16***,0.26,-857.16,-845.76,-858.81,-838.87
10-14 (%),330,0.23***,0.14**,0.21,-856.03,-844.64,-857.09,-836.95
Semiroutine (%),330,0.22***,0.15**,0.23,-854.53,-843.14,-854.68,-838.56
Home work (%),330,-0.22***,-0.15**,0.23,-853.6,-842.2,-853.6,-842.2
45-49 (%),330,0.17***,0.10*,0.17,-847.88,-836.48,-853.3,-832.76
Large households (%),330,-0.06,-0.08,0.17,-839.09,-827.69,-850.65,-830.29
Unemployed (%),330,-0.13**,-0.18***,0.18,-843.95,-832.55,-847.68,-829.15
5-9 (%),330,0.16***,0.09,0.15,-846.59,-835.19,-846.59,-835.18
No qualifications (%),330,0.15**,0.11**,0.18,-845.37,-833.97,-845.37,-833.97
40-44 (%),330,-0.13**,-0.15**,0.18,-843.41,-832.02,-844.97,-827.6
Higher managerial (%),330,-0.13**,-0.09,0.18,-843.94,-832.54,-843.94,-832.54
Routine (%),330,0.13**,0.09*,0.16,-843.65,-832.25,-843.65,-832.25
Female (%),330,-0.08,-0.07,0.14,-840.08,-828.68,-842.02,-823.25
Not deprived (%),330,0.05,0.06,0.11,-838.84,-827.44,-841.49,-823.44
Bad health (%),330,-0.08,-0.09,0.11,-840.16,-828.77,-840.16,-828.76
Age 0-9 (%),330,0.09,0.03,0.10,-840.51,-829.11,-840.15,-824.39
Age 10-19 (%),330,-0.07,-0.08,0.13,-839.73,-828.33,-839.79,-820.91
X,330,0.02,0.02,0.10,-837.97,-826.57,-839.41,-822.41
Lower managerial (%),330,0.06,0.04,0.08,-839.05,-827.66,-839.05,-827.65
Severe disability (%),330,-0.06,-0.07,0.11,-838.99,-827.6,-838.99,-827.59
0-4 (%),330,0.02,-0.02,0.08,-838.02,-826.62,-838.72,-821.49
Age 40-49 (%),330,-0.02,-0.05,0.10,-837.98,-826.59,-837.5,-823.11
