feature,value
per_age_20_24,1.2091730528956522e-4
per_hh_no_car,9.893309941854449e-5
per_age_25_29,9.094574703814704e-5
per_NS_SeC_L89_small_employers_own_account,8.336436326119482e-5
per_level4,7.449362224376629e-5
per_ukborn,6.229072337389326e-5
per_NS_SeC_L1011_lower_supervisory_technical,4.8362190358128154e-5
per_NS_SeC_L456_lower_managerial_administrative_professional,4.808201607058594e-5
per_no_qualifications,4.792064617346193e-5
per_age_10_14,4.77684860806735e-5
per_female,4.414551786675988e-5
total_residents,2.844590154658679e-5
per_hh_owned,2.7620510872625545e-5
per_age_50_54,2.548154802555117e-5
per_bad_health,2.4699591449461877e-5
per_age_15_19,2.4630131520098075e-5
per_severe_disability,2.381703341044435e-5
per_NS_SeC_L12_semi_routine,2.3719642511265273e-5
per_NS_SeC_L15_ft_students,2.363999758571204e-5
per_age_0_4,2.3468282850681926e-5
