feature,value
per_age_20_29,1.6203763995387515e-4
per_hh_no_car,1.0953290169516438e-4
per_level4,6.639094730982117e-5
per_NS_SeC_L89_small_employers_own_account,5.578657879926719e-5
per_NS_SeC_L141142_never_worked_unemployed_lagq,4.7204208861771666e-5
per_NS_SeC_L456_lower_managerial_administrative_professional,4.168909634961782e-5
per_large_households,2.7863320308645626e-5
per_NS_SeC_L15_ft_students,2.5967707944635715e-5
per_female,2.4319628615750953e-5
per_female_lagq,1.885852066221339e-5
pop_density,1.6789037839302954e-5
per_age_40_49,1.5492301939489016e-5
per_nonukborn_lagq,1.5127377581379595e-5
per_home_work,1.3250885854521392e-5
per_hh_owned_lagq,1.2762561683495843e-5
per_age_10_19,1.2246724295230459e-5
per_large_households_lagq,1.220610807704912e-5
per_hh_owned,1.1980179075373708e-5
per_NS_SeC_L13_routine_lagq,1.1705034165226441e-5
rural_pct,1.136107286831909e-5
per_NS_SeC_L1011_lower_supervisory_technical,1.0139715551083623e-5
per_NS_SeC_L12_semi_routine_lagq,9.880217060692137e-6
per_no_qualifications_lagq,9.515989844224103e-6
per_NS_SeC_L456_lower_managerial_administrative_professional_lagq,9.068554797495105e-6
per_NS_SeC_L123_higher_managerial_administrative_professional,8.193678343793704e-6
per_no_qualifications,7.970763231517622e-6
per_nonukborn,7.152779864044891e-6
per_hh_no_car_lagq,7.119799855362627e-6
per_age_50_59_lagq,6.763206155565885e-6
per_age_50_59,6.378063130451857e-6
per_hh_notdeprived,6.261653365844254e-6
per_recent_migrant_lagq,6.248158717536364e-6
per_age_70plus_lagq,6.046651991758181e-6
per_NS_SeC_L141142_never_worked_unemployed,5.2213317496463075e-6
per_age_0_9,5.20524434209206e-6
per_NS_SeC_L89_small_employers_own_account_lagq,4.775938453238985e-6
per_age_20_29_lagq,4.68756924605755e-6
per_age_40_49_lagq,4.031674259777268e-6
per_NS_SeC_L13_routine,3.6371871479359745e-6
per_hh_no_centralheat,3.309020761124967e-6
