feature,value
per_age_20_29,1.8134352330614065e-4
per_hh_no_car,1.276827325041681e-4
per_level4,8.026238935709637e-5
per_NS_SeC_L89_small_employers_own_account,5.956131873669316e-5
per_NS_SeC_L456_lower_managerial_administrative_professional,5.0383902732915664e-5
per_large_households,4.690866662437629e-5
per_NS_SeC_L15_ft_students,3.4533160070085695e-5
per_female,2.8325847316326956e-5
per_age_10_19,2.5807960513923195e-5
rural_pct,2.1785723433684765e-5
per_NS_SeC_L1011_lower_supervisory_technical,2.0400624858859484e-5
per_NS_SeC_L7_intermediate,1.4630973951032942e-5
per_home_work,1.1220254240277317e-5
per_nonukborn,1.1070707102700192e-5
per_NS_SeC_L12_semi_routine,1.0335296236586477e-5
per_age_40_49,1.0096523627715104e-5
per_hh_owned,9.74931933314744e-6
per_recent_migrant,9.395473766331137e-6
per_age_50_59,8.507057814175354e-6
per_NS_SeC_L141142_never_worked_unemployed,5.807066761256217e-6
per_hh_no_centralheat,5.46797359812913e-6
per_NS_SeC_L123_higher_managerial_administrative_professional,5.1056795677706045e-6
per_age_70plus,4.93549861899241e-6
pop_density,4.860963908316935e-6
per_hh_notdeprived,4.7009726193375006e-6
per_age_0_9,4.105495344392142e-6
per_no_qualifications,3.607979691754405e-6
per_age_60_69,3.094075230185836e-6
per_age_30_39,3.0105866799065994e-6
per_NS_SeC_L13_routine,0
