"lad_code","local_authority","census_population_2021","meta_average_nighttime_active_account_estimate_march_2021","meta_estimates_per_100_census_residents","difference_from_fitted_meta_estimate_rate_per_100"
"E06000001","Hartlepool",92338,8622,9.337434,1.242631
"E06000002","Middlesbrough",143926,11286,7.84153,-0.253274
"E06000003","Redcar and Cleveland",136531,13814,10.117849,2.023045
"E06000004","Stockton-on-Tees",196595,20125,10.236781,2.141978
"E06000005","Darlington",107799,11251,10.437017,2.342213
"E06000006","Halton",128478,11123,8.657513,0.56271
"E06000007","Warrington",210974,21794,10.330183,2.235379
"E06000008","Blackburn with Darwen",154738,10559,6.823792,-1.271011
"E06000009","Blackpool",141036,10801,7.658328,-0.436475
"E06000010","Kingston upon Hull, City of",267014,18974,7.105994,-0.988809
"E06000011","East Riding of Yorkshire",342215,37764,11.035168,2.940364
"E06000012","North East Lincolnshire",156966,13877,8.840768,0.745964
"E06000013","North Lincolnshire",169680,18739,11.043729,2.948926
"E06000014","York",202821,16784,8.275277,0.180474
"E06000015","Derby",261364,18175,6.953903,-1.1409
"E06000016","Leicester",368571,24965,6.773457,-1.321346
"E06000017","Rutland",41049,3486,8.49229,0.397486
"E06000018","Nottingham",323632,24522,7.577125,-0.517679
"E06000019","Herefordshire, County of",187034,17372,9.288151,1.193347
"E06000020","Telford and Wrekin",185541,17585,9.47769,1.382886
"E06000021","Stoke-on-Trent",258366,22096,8.552209,0.457405
"E06000022","Bath and North East Somerset",193409,15024,7.767994,-0.326809
"E06000023","Bristol, City of",472465,29248,6.190511,-1.904292
"E06000024","North Somerset",216726,18169,8.383397,0.288593
"E06000025","South Gloucestershire",290424,28619,9.854213,1.75941
"E06000026","Plymouth",264695,15922,6.015225,-2.079579
"E06000027","Torbay",139324,6930,4.974017,-3.120786
"E06000030","Swindon",233407,21322,9.135116,1.040312
"E06000031","Peterborough",215671,22325,10.351415,2.256611
"E06000032","Luton",225262,10052,4.462359,-3.632444
"E06000033","Southend-on-Sea",180686,8594,4.756318,-3.338486
"E06000034","Thurrock",176001,16376,9.304493,1.209689
"E06000035","Medway",279773,21276,7.604737,-0.490067
"E06000036","Bracknell Forest",124607,10702,8.588603,0.493799
"E06000037","West Berkshire",161448,13958,8.645508,0.550705
"E06000038","Reading",174224,8960,5.142805,-2.951999
"E06000039","Slough",158500,6602,4.1653,-3.929504
"E06000040","Windsor and Maidenhead",153496,12674,8.256893,0.162089
"E06000041","Wokingham",177503,14683,8.271973,0.177169
"E06000042","Milton Keynes",287060,23444,8.166934,0.07213
"E06000043","Brighton and Hove",277103,14496,5.231268,-2.863536
"E06000044","Portsmouth",208003,9487,4.560992,-3.533812
"E06000045","Southampton",248922,14397,5.783739,-2.311064
"E06000046","Isle of Wight",140459,9236,6.575584,-1.519219
"E06000047","County Durham",522068,54687,10.475072,2.380269
"E06000049","Cheshire East",398772,38827,9.736641,1.641838
"E06000050","Cheshire West and Chester",357150,35200,9.855803,1.760999
"E06000051","Shropshire",323606,32010,9.891658,1.796855
"E06000052","Cornwall",570305,47246,8.284339,0.189535
"E06000053","Isles of Scilly",2053,56,2.727716,-5.367088
"E06000054","Wiltshire",510333,46766,9.16382,1.069017
"E06000055","Bedford",185225,16899,9.123498,1.028695
"E06000056","Central Bedfordshire",294252,32994,11.212838,3.118034
"E06000057","Northumberland",320567,28768,8.974099,0.879295
"E06000058","Bournemouth, Christchurch and Poole",400196,26990,6.744195,-1.350608
"E06000059","Dorset",379579,30288,7.979367,-0.115437
"E06000060","Buckinghamshire",553078,48090,8.694976,0.600172
"E06000061","North Northamptonshire",359525,38142,10.608998,2.514194
"E06000062","West Northamptonshire",425725,45255,10.630102,2.535298
"E07000008","Cambridge",145674,6579,4.516249,-3.578555
"E07000009","East Cambridgeshire",87762,8793,10.019143,1.924339
"E07000010","Fenland",102462,9750,9.515723,1.420919
"E07000011","Huntingdonshire",180832,17099,9.455738,1.360934
"E07000012","South Cambridgeshire",162118,14422,8.895989,0.801186
"E07000026","Allerdale",96157,7557,7.859022,-0.235781
"E07000027","Barrow-in-Furness",67407,5069,7.519991,-0.574813
"E07000028","Carlisle",110024,11678,10.614048,2.519244
"E07000029","Copeland",67076,5917,8.821337,0.726533
"E07000030","Eden",54735,4506,8.232392,0.137589
"E07000031","South Lakeland",104450,8572,8.206798,0.111994
"E07000032","Amber Valley",126206,13088,10.370347,2.275543
"E07000033","Bolsover",80272,10548,13.140323,5.045519
"E07000034","Chesterfield",103569,7418,7.162375,-0.932429
"E07000035","Derbyshire Dales",71540,5602,7.830584,-0.264219
"E07000036","Erewash",112906,11172,9.894957,1.800153
"E07000037","High Peak",90933,8228,9.04842,0.953617
"E07000038","North East Derbyshire",102001,16204,15.886119,7.791315
"E07000039","South Derbyshire",107205,18721,17.462805,9.368001
"E07000040","East Devon",150828,12413,8.229904,0.135101
"E07000041","Exeter",130709,7238,5.537492,-2.557312
"E07000042","Mid Devon",82852,7453,8.995558,0.900755
"E07000043","North Devon",98611,8407,8.525418,0.430614
"E07000044","South Hams",88627,11246,12.689135,4.594332
"E07000045","Teignbridge",134803,13180,9.77723,1.682427
"E07000046","Torridge",68114,4558,6.691723,-1.403081
"E07000047","West Devon",57096,4864,8.518986,0.424182
"E07000061","Eastbourne",101686,3259,3.204964,-4.889839
"E07000062","Hastings",90995,4775,5.247541,-2.847263
"E07000063","Lewes",99905,8433,8.441019,0.346215
"E07000064","Rother",93108,7211,7.74477,-0.350034
"E07000065","Wealden",160152,17341,10.827839,2.733035
"E07000066","Basildon",187571,14786,7.882882,-0.211922
"E07000067","Braintree",155268,14368,9.253678,1.158874
"E07000068","Brentwood",77047,7365,9.5591,1.464297
"E07000069","Castle Point",89587,4765,5.318852,-2.775952
"E07000070","Chelmsford",181523,14494,7.984663,-0.110141
"E07000071","Colchester",192715,16331,8.474172,0.379368
"E07000072","Epping Forest",134980,15606,11.561713,3.466909
"E07000073","Harlow",93329,3488,3.737316,-4.357487
"E07000074","Maldon",66208,5847,8.831259,0.736455
"E07000075","Rochford",85661,9971,11.64007,3.545266
"E07000076","Tendring",148291,10548,7.113041,-0.981762
"E07000077","Uttlesford",91341,8413,9.210541,1.115737
"E07000078","Cheltenham",118836,6732,5.66495,-2.429854
"E07000079","Cotswold",90832,7712,8.4904,0.395596
"E07000080","Forest of Dean",87004,7825,8.993839,0.899036
"E07000081","Gloucester",132416,7697,5.812742,-2.282062
"E07000082","Stroud",121104,11438,9.444775,1.349971
"E07000083","Tewkesbury",94884,12980,13.679862,5.585058
"E07000084","Basingstoke and Deane",185154,18027,9.73622,1.641416
"E07000085","East Hampshire",125744,9759,7.761006,-0.333797
"E07000086","Eastleigh",136443,14598,10.698973,2.60417
"E07000087","Fareham",114511,6669,5.823895,-2.270909
"E07000088","Gosport",81952,4143,5.055398,-3.039405
"E07000089","Hart",99408,8358,8.407774,0.31297
"E07000090","Havant",124208,7900,6.360299,-1.734505
"E07000091","New Forest",175785,15157,8.622465,0.527661
"E07000092","Rushmoor",99756,5640,5.653795,-2.441008
"E07000093","Test Valley",130492,12670,9.709407,1.614604
"E07000094","Winchester",127444,15362,12.053922,3.959118
"E07000095","Broxbourne",99009,6424,6.488299,-1.606505
"E07000096","Dacorum",155081,10534,6.792579,-1.302224
"E07000098","Hertsmere",107827,11151,10.341566,2.246762
"E07000099","North Hertfordshire",133210,15680,11.770888,3.676084
"E07000102","Three Rivers",93771,6440,6.867795,-1.227009
"E07000103","Watford",102246,2419,2.365863,-5.728941
"E07000105","Ashford",132747,12201,9.191168,1.096365
"E07000106","Canterbury",157432,11285,7.168174,-0.926629
"E07000107","Dartford",116753,10816,9.264002,1.169198
"E07000108","Dover",116410,9573,8.22352,0.128717
"E07000109","Gravesham",106900,7582,7.09261,-1.002194
"E07000110","Maidstone",175782,18520,10.535777,2.440974
"E07000111","Sevenoaks",120514,9186,7.622351,-0.472453
"E07000112","Folkestone and Hythe",109758,7282,6.634596,-1.460208
"E07000113","Swale",151676,13697,9.030433,0.93563
"E07000114","Thanet",140587,8125,5.779339,-2.315464
"E07000115","Tonbridge and Malling",132201,12077,9.135332,1.040528
"E07000116","Tunbridge Wells",115311,7660,6.642905,-1.451899
"E07000117","Burnley",94646,9746,10.297318,2.202515
"E07000118","Chorley",117732,15186,12.898787,4.803983
"E07000119","Fylde",81374,7146,8.781675,0.686871
"E07000120","Hyndburn",82234,8277,10.06518,1.970376
"E07000121","Lancaster",142934,10561,7.388725,-0.706079
"E07000122","Pendle",95757,8168,8.529925,0.435121
"E07000123","Preston",147835,13633,9.221768,1.126964
"E07000124","Ribble Valley",61561,6146,9.983594,1.88879
"E07000125","Rossendale",70871,7652,10.797082,2.702278
"E07000126","South Ribble",111035,10527,9.480794,1.385991
"E07000127","West Lancashire",117429,14039,11.955309,3.860506
"E07000128","Wyre",111946,9327,8.331696,0.236892
"E07000129","Blaby",102926,11085,10.769874,2.67507
"E07000130","Charnwood",183971,16078,8.739421,0.644617
"E07000131","Harborough",97625,9185,9.408451,1.313647
"E07000132","Hinckley and Bosworth",113642,11156,9.816793,1.721989
"E07000133","Melton",51752,4910,9.487556,1.392752
"E07000134","North West Leicestershire",104706,11733,11.205662,3.110858
"E07000135","Oadby and Wigston",57747,3618,6.265261,-1.829543
"E07000136","Boston",70502,8740,12.396811,4.302008
"E07000137","East Lindsey",142296,13171,9.256058,1.161254
"E07000138","Lincoln",103813,7082,6.821882,-1.272922
"E07000139","North Kesteven",118075,14633,12.392971,4.298167
"E07000140","South Holland",95122,10874,11.431635,3.336832
"E07000141","South Kesteven",143404,13120,9.148978,1.054174
"E07000142","West Lindsey",95156,10680,11.223675,3.128871
"E07000143","Breckland",141476,13249,9.364839,1.270036
"E07000144","Broadland",131721,14190,10.77277,2.677966
"E07000145","Great Yarmouth",99748,4718,4.729919,-3.364884
"E07000146","King's Lynn and West Norfolk",154325,14988,9.711971,1.617168
"E07000147","North Norfolk",102980,6734,6.539134,-1.55567
"E07000148","Norwich",143922,4825,3.35251,-4.742293
"E07000149","South Norfolk",141948,14960,10.539071,2.444267
"E07000163","Craven",56927,5062,8.89209,0.797286
"E07000164","Hambleton",90690,8918,9.833499,1.738695
"E07000165","Harrogate",162666,15850,9.743892,1.649089
"E07000166","Richmondshire",49776,5793,11.638139,3.543335
"E07000167","Ryedale",54707,4861,8.885517,0.790714
"E07000168","Scarborough",108736,9112,8.379929,0.285126
"E07000169","Selby",91988,11721,12.741879,4.647076
"E07000170","Ashfield",126300,14231,11.267617,3.172813
"E07000171","Bassetlaw",117804,13760,11.680418,3.585615
"E07000172","Broxtowe",110940,10729,9.670993,1.57619
"E07000173","Gedling",117264,9507,8.107348,0.012544
"E07000174","Mansfield",110482,9817,8.88561,0.790807
"E07000175","Newark and Sherwood",122956,13755,11.186929,3.092125
"E07000176","Rushcliffe",119077,12021,10.095149,2.000345
"E07000177","Cherwell",161016,15082,9.366771,1.271967
